movieid,collectionname,productioncompanies,productioncountries,countryabb,releaseyear
902,,"[{'name': 'Procirep', 'id': 311}, {'name': 'Constellation Productions', 'id': 590}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Claudie Ossard Productions', 'id': 592}, {'name': 'Eurimages', 'id': 850}, {'name': 'MEDIA Programme of the European Union', 'id': 851}, {'name': 'Cofimage 5', 'id': 1871}, {'name': 'Televisión Española (TVE)', 'id': 6639}, {'name': 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'id': 7237}, {'name': ""Club d'Investissement Média"", 'id': 8170}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Elías Querejeta Producciones Cinematográficas S.L.', 'id': 12009}, {'name': 'Centre National de la Cinématographie (CNC)', 'id': 18367}, {'name': 'Victoires Productions', 'id': 25020}, {'name': 'Constellation', 'id': 25021}, {'name': 'Lumière Pictures', 'id': 25129}, {'name': 'Canal+', 'id': 47532}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofimage 4', 'id': 79437}, {'name': 'Ossane', 'id': 79438}, {'name': 'Phoenix Images', 'id': 79439}]","France, Germany, Spain",ES,1995.0
37557,,"Ministère des Affaires Étrangères, Alpha Films, La Sept Cinéma","China, France",FR,1995.0
9909,,"Hollywood Pictures, Via Rosa Productions, Don Simpson/Jerry Bruckheimer Films",United States of America,US,1995.0
63,,"Universal Pictures, Atlas Entertainment, Classico",United States of America,US,1995.0
78802,,Iwerks Entertainment,"France, United States of America",US,1996.0
9598,Babe Collection,"Universal Pictures, Kennedy Miller Productions","Australia, United States of America",US,1995.0
47018,,"StudioCanal, Cinéa, Euston Films, Freeway Films, European Co-production Fund, Polygram Filmed Entertainment, Orsans Productions","France, United Kingdom",GB,1995.0
687,,"Havoc, PolyGram Filmed Entertainment, Working Title Films","United States of America, United Kingdom",GB,1995.0
139405,,Sony New Technologies,United States of America,US,1995.0
33689,,"Dualstar Productions, Warner Bros., Rysher Entertainment, Orr & Cruickshank",United States of America,US,1995.0
9603,,Paramount Pictures,United States of America,US,1995.0
34615,,"Miramax, Distant Horizon, Alpine Pty Limited",South Africa,ZA,1995.0
31174,,"British Screen, Mayfair Entertainment International","United Kingdom, United States of America",US,1995.0
11443,,"Caravan Pictures, Underworld Entertainment, Hollywood Pictures",United States of America,US,1995.0
35196,,Miramax Films,United States of America,US,1995.0
9312,Mortal Kombat Collection,"New Line Cinema, Threshold Entertainment",United States of America,US,1995.0
577,,"The Rank Organisation, Columbia Pictures Corporation",United States of America,US,1995.0
11861,,"Universal Pictures, Amblin Entertainment",United States of America,US,1995.0
807,,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",United States of America,US,1995.0
10530,Pocahontas Collection,"Walt Disney Pictures, Walt Disney Feature Animation",United States of America,US,1995.0
8391,,Alliance Communications Corporation,Canada,CA,1995.0
629,,"Blue Parrot Productions, Bad Hat Harry Productions",United States of America,US,1995.0
117164,,,,US,1994.0
11448,,"Miramax Films, Magnolia Pictures",United States of America,US,1995.0
49133,,,"Italy, France, Switzerland",CH,1994.0
26441,,"Walt Disney Pictures, Caravan Pictures",United States of America,US,1995.0
97406,,"Miramax Films, CiBy 2000","France, United States of America",US,1995.0
124057,,"Telefilm Canada, Melenny Productions",,US,1997.0
9089,,"Paramount Pictures, Egg Pictures, PolyGram Filmed Entertainment",United States of America,US,1995.0
11010,,,"Belgium, France, Italy",IT,1994.0
99040,,,Canada,CA,1995.0
11359,,"Paramount Pictures, Columbia Pictures Corporation, The Kennedy/Marshall Company",United States of America,US,1995.0
17182,,Paramount Pictures,United States of America,US,1996.0
2054,,"Hollywood Pictures, The Charlie Mopic Company, PolyGram Filmed Entertainment, Interscope Communications",United States of America,US,1995.0
10607,,"Miramax Films, Island Pictures, Ivory Way Productions",United States of America,US,1996.0
19760,,"Warner Bros., Morgan Creek Productions",United States of America,US,1996.0
9536,,"Metro-Goldwyn-Mayer (MGM), Motion Picture Corporation of America (MPCA), 3 Arts Entertainment, Weasel Productions",United States of America,US,1996.0
11525,The Lawnmower Man Collection,New Line Cinema,United States of America,US,1996.0
40628,,Miramax Films,United States of America,US,1995.0
4482,,"Renn Productions, Les Films Flam, TF1 Films Production, Canal+",France,FR,1995.0
10634,Friday Collection,New Line Cinema,United States of America,US,1995.0
755,From Dusk Till Dawn Collection,"A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",United States of America,US,1996.0
11859,,"Silver Pictures, Warner Bros.",United States of America,US,1995.0
28387,,"Castleberg Productions, Sandollar Productions",United States of America,US,1995.0
48750,,"Les Films 13, Canal+, TF1",France,FR,1995.0
20927,,"New Line Cinema, Juno Pix",United States of America,US,1996.0
36929,,"Warner Bros., Morgan Creek Productions",United States of America,US,1996.0
9102,"{'id': 122017, 'name': 'Screamers Collection', 'poster_path': '/vtCuIaQvK3IyLENmuc73RFm4TU7.jpg', 'backdrop_path': None}","The Movie Network (TMN), Allegro Films, Fuji Eight Company Ltd., Fries Film Group, Super Ecran, Triumph Films","Canada, Japan, United States of America",US,1995.0
124626,,"Zweites Deutsches Fernsehen (ZDF), Ciak Filmproduktion, Bluehorse Films","Germany, United States of America",US,1995.0
27526,,Miramax Films,United States of America,US,1995.0
9623,,Columbia Pictures Corporation,United States of America,US,1996.0
46785,,"I.R.I.B. Channel 2, Ferdos Films",Iran,IR,1995.0
400,,Miramax Films,United States of America,US,1995.0
880,,"Bergen Film, Bard Entertainments, NPS Televisie","Netherlands, United Kingdom, Belgium",BE,1995.0
146599,,"BET Pictures, United Image Entertainme",United States of America,US,1996.0
188588,,,,US,1995.0
8447,,"Playhouse International Pictures, The Samuel Goldwyn Company","United Kingdom, United States of America",US,1995.0
10534,,"Hollywood Pictures, Largo Entertainment, Scott Free Productions",United States of America,US,1996.0
17414,,"Twentieth Century Fox Film Corporation, Joe Wizan/Todd Black",United States of America,US,1996.0
13997,,Paramount Pictures,United States of America,US,1996.0
2086,,Paramount Pictures,United States of America,US,1995.0
61548,,"Miramax Films, Addis Wechsler Pictures",United States of America,US,1995.0
9095,,"TriStar Pictures, NFH Productions",United States of America,US,1996.0
12158,,Paramount Pictures,United States of America,US,1995.0
9283,,"Miramax Films, Woods Entertainment",United States of America,US,1996.0
9208,,"Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",United States of America,US,1996.0
40154,,"Castle Rock Entertainment, Midwinter Films",United Kingdom,GB,1995.0
406,,"Egg Pictures, PolyGram Filmed Entertainment, Canal+, Les Productions Lazennec, La Sept Cinéma, Kasso Inc. Productions, Studio Image, Cofinergie 6",France,FR,1995.0
45549,,Channel Four Films,United Kingdom,GB,1994.0
63076,,"British Broadcasting Corporation (BBC), Westdeutscher Rundfunk (WDR), Canadian Broadcasting Corporation (CBC), Cinemax Reel Life, InPictures, Lafayette Films","United Kingdom, Canada, United States of America, Germany",DE,1995.0
11062,,"Columbia Pictures, Castle Rock Entertainment",United States of America,US,1996.0
13685,,"Gracie Films, Columbia Pictures Corporation",United States of America,US,1996.0
47475,,Touchstone Pictures,United States of America,US,1996.0
2045,,"Metro-Goldwyn-Mayer (MGM), Dino De Laurentiis Company, Spelling Films",United States of America,US,1996.0
9614,,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions",United States of America,US,1996.0
688,,"Amblin Entertainment, Malpaso Productions, Warner Bros.",United States of America,US,1995.0
11907,,,Germany,DE,1994.0
10874,The Muppet Collection,"Walt Disney Pictures, Jim Henson Productions, Jim Henson Company, The",United States of America,US,1996.0
89333,,,,US,1995.0
96357,,,,US,1995.0
197,,"Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",United States of America,US,1995.0
103,,"Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips",United States of America,US,1976.0
33542,,"New Line Cinema, Golden Harvest Company",Hong Kong,HK,1995.0
43566,,"Caravan Pictures, Hollywood Pictures",United States of America,US,1996.0
71754,,"Téléfilm Canada, Skyline Films, Malofilm, Société de Développement des Entreprises Culturelles (SODEC), British Screen Productions, National Film Board of Canada (NFB), imX Communications, Glace Bay Pictures, Ciné Télé Action, Nova Scotia Film Development Corporation, Ranfilm","Canada, United Kingdom",GB,1995.0
43612,,"France 2 Cinéma, France 3 Cinéma, StudioCanal, Les Productions du Champ Poirier, Téléma Productions",France,FR,1995.0
51352,,,"United Kingdom, United States of America, Netherlands",NL,1995.0
16934,,Bavaria Film and Television Fund,"Germany, France, United Kingdom",GB,1995.0
10324,,"TriStar Pictures, Motion Picture Corporation of America (MPCA)",United States of America,US,1996.0
78406,,Savoy Pictures,United States of America,US,1995.0
55731,,TriStar Pictures,United States of America,US,1996.0
32119,,,Canada,CA,1992.0
11066,,Paramount Pictures,United States of America,US,1992.0
11104,,"Jet Tone Production, The Criterion Collection",Hong Kong,HK,1994.0
37975,,Cecchi Gori Group Tiger Cinematografica,Italy,IT,1995.0
2074,,Miramax Films,United States of America,US,1996.0
27793,The Neverending Story Collection,"Studio Babelsberg, Dieter Geissler Filmproduktion, Cinevox Filmproduktion GmbH, Warner Bros., Miramax","Germany, United States of America",US,1994.0
44284,,"Canal Horizons, Mat Films, Cinétéléfilms","Tunisia, France",FR,1994.0
290157,,,,FR,1995.0
110972,,,,FR,1996.0
32622,,,United States of America,US,1995.0
73067,,"Fine Line Features, Channel Four Films, Bórd Scannán na hÉireann, Canal+","United Kingdom, United States of America, France, Ireland",IE,1995.0
11863,,Paramount Pictures,United States of America,US,1995.0
55475,,"[{'name': 'Cigua Films', 'id': 93488}, {'name': ""D'Pelicula"", 'id': 93489}]",Dominican Republic,DO,1995.0
124636,,,United States of America,US,1995.0
9101,,Twentieth Century Fox Film Corporation,United States of America,US,1996.0
123360,,Couch Potatoe Productions,United States of America,US,1995.0
5757,,,United States of America,US,1995.0
39428,,"Channel Four Films, Academy, Mayfair Films, Iberoamerica Films",United Kingdom,GB,1995.0
124639,,,,GB,1995.0
9302,,"Cinergi Pictures Entertainment, Touchstone Pictures",United States of America,US,1996.0
11000,,United Artists,United States of America,US,1996.0
249882,,,"Croatia, Canada, United States of America",US,1995.0
16388,,Fox Searchlight Pictures,United States of America,US,1995.0
9737,Bad Boys Collection,"Columbia Pictures, Don Simpson/Jerry Bruckheimer Films",United States of America,US,1995.0
30765,,Warner Bros.,United States of America,US,1995.0
10474,,"New Line Cinema, Island Pictures",United States of America,US,1995.0
22279,,"Fine Line Features, BBC, British Screen Productions, Portman Productions",United Kingdom,GB,1995.0
30157,,"Channel Four Films, Zenith Entertainment, American Playhouse, Union Générale Cinématographique (UGC), La Sept Cinéma, True Fiction Pictures","France, United Kingdom, United States of America",US,1994.0
568,,"Imagine Entertainment, Universal Pictures",United States of America,US,1995.0
11780,,"United Artists, Talisman Productions","United Kingdom, United States of America",US,1995.0
34996,,"October Films, Guild, Fastnet Films",United States of America,US,1995.0
414,Batman Collection,"Warner Bros., Polygram Filmed Entertainment","United Kingdom, United States of America",US,1995.0
649,,"Paris Films Productions, Five Films, Robert et Raymond Hakim","France, Italy",IT,1967.0
1873,,"Columbia Pictures, Castle Rock Entertainment",,IT,1995.0
5894,Brooklyn Cigar Store Collection,"Miramax Films, InterAL",United States of America,US,1995.0
1775,,PolyGram Filmed Entertainment,"Canada, United States of America",US,1995.0
8839,"{'id': 8819, 'name': 'Casper Collection', 'poster_path': '/nWKbJAOFwJlJm24dTovfQuUJOc2.jpg', 'backdrop_path': None}","Universal Pictures, Amblin Entertainment, The Harvey Entertainment Company",United States of America,US,1995.0
20649,,"Universal Pictures, 40 Acres & A Mule Filmworks",United States of America,US,1995.0
10329,,"Paramount Pictures, Kennedy/Marshall Company, The",United States of America,US,1995.0
8963,,"Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films",United States of America,US,1995.0
26564,,Superior Pictures,United States of America,US,1994.0
8068,Mexico Trilogy,"Columbia Pictures, Los Hooligans Productions",United States of America,US,1995.0
8512,,"TriStar Pictures, Mundy Lane Entertainment",United States of America,US,1995.0
1572,Die Hard Collection,"Twentieth Century Fox Film Corporation, Cinergi Pictures Entertainment",United States of America,US,1995.0
13552,Teenage Apocalypse Trilogy,"Why Not Productions, Desperate Pictures, Blurco, The Teen Angst Movie Company","France, United States of America",US,1995.0
259209,,"Touchstone Pictures, Merchant Ivory Productions",,US,1995.0
6520,,"Columbia Pictures Corporation, First Knight Productions",United States of America,US,1995.0
9073,Free Willy Collection,"Regency Enterprises, Alcor Films, Canal+, Donner/Shuler-Donner Productions, Warner Bros.","France, United States of America",US,1995.0
10428,,"United Artists, Suftley",United States of America,US,1995.0
17447,,"[{'name': 'The Booking Office', 'id': 12909}, {'name': ""Workin' Man Films"", 'id': 12910}]",United States of America,US,1995.0
9886,,"TriStar Pictures, Alliance Communications Corporation","Canada, United States of America",US,1995.0
9482,,"Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,US,1995.0
19326,,TriStar Pictures,United States of America,US,1995.0
9344,,Miramax Films,United States of America,US,1995.0
9071,,"JDI productions, Lemon Sky Productions",United States of America,US,1995.0
8973,,"United Artists, Seraphim Films",United States of America,US,1995.0
15730,,"The Ontario Film Development Corporation, First Choice Films, Atlantis Films, Telefilm Canada, Max Films Productions, Super Écran, Société Générale des Industries Culturelles du Québec (SOGIC)",Canada,CA,1993.0
47608,,Touchstone Pictures,United States of America,US,1995.0
2293,,"Universal Pictures, Gramercy Pictures, Alphaville Films, View Askew Productions",United States of America,US,1995.0
9070,Power Rangers Collection,"Twentieth Century Fox Film Corporation, Saban Entertainment, Toei Company","Japan, United States of America",US,1995.0
68274,,"PolyGram Filmed Entertainment, Working Title Films","United Kingdom, United States of America",US,1995.0
48787,,"Comet Film Produktion GmbH, Avrora Media, Cobblestone Pictures","Germany, Russia, United Kingdom, United States of America",US,1995.0
34574,,Kino Link Company,United States of America,US,1994.0
1642,Síť (kolekce),Columbia Pictures,United States of America,US,1995.0
11472,,"Twentieth Century Fox Film Corporation, 1492 Pictures",United States of America,US,1995.0
36196,,Party Productions,United States of America,US,1995.0
11980,"{'id': 9068, 'name': 'The Prophecy Collection', 'poster_path': '/pU4wvBeirFDNk8rs9tsGZLa7Kyb.jpg', 'backdrop_path': None}",Dimension Films,United States of America,US,1995.0
58372,,"Playhouse International Pictures, American Playhouse, Samuel Goldwyn Company, The",United States of America,US,1995.0
32646,,"Killer Films, American Playhouse, Kardana Films, Chemical Films","United Kingdom, United States of America",US,1995.0
10533,,"Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,US,1995.0
56088,,,,US,1995.0
10802,Showgirls Collection,"United Artists, Le Studio Canal+, Carolco Pictures","France, United States of America",US,1995.0
10149,Brooklyn Cigar Store Collection,Miramax Films,"Germany, Japan, United States of America",US,1995.0
18402,,"Spring Creek Productions, Warner Bros., Hawn / Sylbert Movie Company",United States of America,US,1995.0
9348,Species Collection,Metro-Goldwyn-Mayer (MGM),United States of America,US,1995.0
139408,,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': ""Butcher's Run Films"", 'id': 3864}, {'name': 'Warner Bros.', 'id': 6194}]",United States of America,US,1995.0
281,,Lightstorm Entertainment,United States of America,US,1995.0
5967,,"Beta Film, Madeleine Films, Parc Film","Germany, France",FR,1964.0
79593,,"Hollywood Pictures, PolyGram Filmed Entertainment, Interscope Communications",United States of America,US,1995.0
47939,,Savoy Pictures,United States of America,US,1995.0
36834,,"Société Française de Production (SFP), FIT Productions, Portman Productions","France, Belgium, United Kingdom",GB,1995.0
9090,,"Universal Pictures, Amblin Entertainment",United States of America,US,1995.0
3512,Under Siege Collection,"Regency Enterprises, Warner Bros., Seagal/Nasso Productions, Victor Company of Japan (JVC), Cutting Edge Films",United States of America,US,1995.0
52856,,Hollywood Pictures,,US,1995.0
77350,,,United States of America,US,1995.0
9560,,"Twentieth Century Fox Film Corporation, Zucker Brothers Productions",United States of America,US,1995.0
9804,,"Universal Pictures, Gordon Company, Davis Entertainment, Licht/Mueller Film Corporation",United States of America,US,1995.0
31611,,"HBO, A BandApart, Rysher Entertainment","France, United States of America",US,1995.0
65796,,United Artists,,US,1995.0
49805,,Paramount Pictures,United Kingdom,GB,1994.0
26258,,Twentieth Century Fox Film Corporation,United States of America,US,1995.0
50797,Burnt by the Sun Trilogy,"Canal+, Studio Trite, Caméra One","France, Russia",RU,1994.0
19155,,"PolyGram Audiovisuel, British Screen Productions","United Kingdom, Macedonia, France",FR,1994.0
76,Before... Collection,"Detour Film Production, Warner Bros.","Austria, Switzerland, United States of America",US,1995.0
11017,,Jack Giarraputo Productions,United States of America,US,1995.0
37141,,Spelling Films International,United States of America,US,1995.0
9382,,"Regency Enterprises, Alcor Films, Canal+, New Regency Pictures, Hera Productions","France, United States of America",US,1995.0
6715,,"Universal Pictures, Island World",United States of America,US,1995.0
18256,,Full Moon Entertainment,United States of America,US,1995.0
22625,,"The Rank Organisation, Bórd Scannán na hÉireann, Lantana, Price Entertainment","Ireland, United Kingdom",GB,1995.0
2292,Clerks Collection,"Miramax Films, View Askew Productions",United States of America,US,1994.0
1909,,"New Line Cinema, American Zoetrope",United States of America,US,1994.0
8984,,"Warner Bros., Baltimore Pictures",United States of America,US,1994.0
61813,,"Keystone Pictures, Dream Man Productions Inc","United States of America, Canada",CA,1995.0
4954,,Paramount Pictures,United States of America,US,1994.0
62488,,"Savoy Pictures, Rysher Entertainment",United States of America,US,1995.0
10531,,"[{'name': 'Fine Line Features', 'id': 8}, {'name': 'Channel Four Films', 'id': 181}, {'name': 'Capitol Films', 'id': 826}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'Flach Film', 'id': 8277}, {'name': ""Les Films de l'Astre"", 'id': 68141}]","United States of America, France, United Kingdom",GB,1994.0
11929,,"Castle Rock Entertainment, Columbia Pictures Corporation",United States of America,US,1995.0
8467,Dumb and Dumber Collection,"New Line Cinema, Motion Picture Corporation of America (MPCA)",United States of America,US,1994.0
10451,,"Ang Lee Productions, Good Machine, Central Motion Pictures","Taiwan, United States of America",US,1994.0
20156,,"Miramax Films, Alliance Entertainment, Ego Film Arts",Canada,CA,1994.0
18395,,Savoy Pictures,United States of America,US,1994.0
522,,Touchstone Pictures,United States of America,US,1994.0
397,,"Twentieth Century Fox Film Corporation, PolyGram Filmed Entertainment, Working Title Films, Prufrock Pictures","United Kingdom, United States of America",US,1995.0
10525,,"Columbia Pictures, Castle Rock Entertainment",United States of America,US,1995.0
27985,,Twentieth Century Fox Film Corporation,United States of America,US,1995.0
15789,A Goofy Movie Collection,Walt Disney Pictures,United States of America,US,1995.0
27303,,TriStar Pictures,United States of America,US,1995.0
21183,,Metro-Goldwyn-Mayer,United States of America,US,1995.0
10954,,"Italian International Film, Stéphan Films, MG","Belgium, France, Italy",IT,1994.0
47867,,,United States of America,US,1995.0
43475,,,,US,1995.0
72031,,Miramax Films,"United States of America, France",FR,1994.0
14275,,"Fine Line Features, Kartemquin Films",United States of America,US,1994.0
1024,,"WingNut Films, Miramax Films, New Zealand Film Commission, Fontana Productions",New Zealand,NZ,1994.0
17207,,"Caravan Pictures, Hollywood Pictures",,NZ,1995.0
13701,,"Columbia Pictures, Majestic Films International, Icon Entertainment International",United States of America,US,1994.0
14819,,"Walt Disney Pictures, Caravan Pictures",United States of America,US,1995.0
32631,,"Universal Pictures, Bregman/Baer Productions",United States of America,US,1995.0
11777,,Paramount Pictures,United States of America,US,1994.0
628,The Vampire Chronicles,Geffen Pictures,United States of America,US,1994.0
87729,,"Merchant Ivory Productions, Touchstone Pictures",United States of America,US,1995.0
18713,,"Caravan Pictures, Touchstone Pictures",United States of America,US,1995.0
6280,,"Universal Pictures, Northern Lights Entertainment",United States of America,US,1994.0
9061,,"Fountainbridge Films, Warner Bros., Lee Rich Productions",United States of America,US,1995.0
37108,,"Walt Disney Pictures, Trimark Pictures",,US,1995.0
6071,,Twentieth Century Fox Film Corporation,United States of America,US,1995.0
11,Star Wars Collection,"Lucasfilm, Twentieth Century Fox Film Corporation",United States of America,US,1977.0
9587,,Columbia Pictures,United States of America,US,1994.0
19101,,Warner Bros.,United States of America,US,1995.0
49980,,"Channel Four Films, Parallax Pictures",United Kingdom,GB,1994.0
17961,,MK2 Productions,France,FR,1994.0
18183,,"Aviacsa, Cinevista",Mexico,MX,1992.0
4476,,"Bedford Falls Productions, TriStar Pictures, Pangaea",United States of America,US,1994.0
11008,,Universal Pictures,United States of America,US,1995.0
47504,,"Fine Line Features, New Line Cinema, Live Entertainment",United States of America,US,1994.0
32325,,"Channel Four Films, Cineville, Home Box Office (HBO), Showcase Entertaiment Inc.",United States of America,US,1994.0
43742,,Warner Bros.,United States of America,US,1994.0
28313,,Paramount Pictures,United States of America,US,1995.0
11318,,"Channel Four Films, Samuel Goldwyn Company, Close Call Films",United Kingdom,GB,1994.0
3036,,"American Zoetrope, TriStar Pictures","United Kingdom, Japan, United States of America",US,1994.0
40490,,Walt Disney Pictures,,US,1995.0
24070,,TriStar Pictures,United States of America,US,1994.0
8986,,"Paramount Pictures, The Kennedy/Marshall Company",United States of America,US,1994.0
10510,,Twentieth Century Fox Film Corporation,United States of America,US,1994.0
17402,,Hollywood Pictures,United States of America,US,1995.0
38722,,"American Zoetrope, American Playhouse, Majestic Films International, Newcomb Productions",United States of America,US,1995.0
8438,,"Wolper Organization, Warner Bros.","France, United States of America",US,1995.0
11593,,"Paramount Pictures, Capella International, Cinehaus",United States of America,US,1994.0
1945,,"Twentieth Century Fox Film Corporation, Egg Pictures, PolyGram Filmed Entertainment",United States of America,US,1994.0
39310,,40 Acres & A Mule Filmworks,United States of America,US,1995.0
109560,,"TOEI, Distant Justice Joint Venture","Japan, United States of America",US,1993.0
56428,,Metrodome Films,United Kingdom,GB,1994.0
63105,"{'id': 286948, 'name': 'Nemesis Collection', 'poster_path': '/nKAGlTL97Sp1zIy3f6rGEqjyjGG.jpg', 'backdrop_path': None}","Filmwerks, Imperial Entertainment",United States of America,US,1995.0
131957,,Triumph Films,,US,1995.0
241,,"Regency Enterprises, Alcor Films, Ixtlan, Warner Bros., New Regency Pictures, J D Productions",United States of America,US,1994.0
9058,,TriStar Pictures,United States of America,US,1994.0
527,"{'id': 300546, 'name': 'Once were Warriors Collection', 'poster_path': None, 'backdrop_path': None}","Avalon Studios, New Zealand Film Commission, New Zealand On Air",New Zealand,NZ,1994.0
18220,Poison Ivy Collection,"New Line Cinema, CineTel Pictures, MG Entertainment",United States of America,US,1996.0
6950,,"Kopelson Entertainment, Punch Productions, Warner Bros., Arnold Kopelson Productions",United States of America,US,1995.0
101,,"Columbia Pictures, Gaumont","France, United States of America",US,1994.0
63020,,"Samuel Goldwyn Company, The",United States of America,US,1995.0
2307,,Hollywood Pictures,United States of America,US,1995.0
680,,"Miramax Films, A Band Apart, Jersey Films",United States of America,US,1994.0
41478,,"Polygram Filmed Entertainment, Gramercy Pictures (I), MVP Films","United Kingdom, United States of America",US,1995.0
25296,,Ang Lee Productions,Taiwan,TW,1992.0
40156,,"BBC Films, PolyGram Filmed Entertainment, Miramax",United Kingdom,GB,1994.0
11450,,"Wildwood Enterprises, Hollywood Pictures, Baltimore Pictures",United States of America,US,1994.0
30304,,"Cecile Company, Thousand Cranes Filmworks","Japan, United States of America",US,1995.0
10452,,"Renn Productions, Eurimages, Canal+, ARD/Degeto Film GmbH, D.A. Films, France2 Cinéma, WMG Film, Centre National de la Cinématographie (CNC), N.E.F. Filmproduktion und Vertriebs GmbH, Miramax, RCS Films & TV","France, Germany, Italy",IT,1994.0
12106,,TriStar Pictures,"Japan, United States of America",US,1995.0
161495,,"Hollywood Pictures, Interscope Communications, Nomura Babcock & Brown",United States of America,US,1995.0
3586,,Miramax Films,United States of America,US,1994.0
110,Three Colors Collection,"Zespół Filmowy TOR, Le Studio Canal+, France 3 Cinéma, Télévision Suisse-Romande","France, Poland, Switzerland",CH,1994.0
108,Three Colors Collection,"France 3 Cinéma, CED Productions","France, Poland",PL,1993.0
109,Three Colors Collection,"Le Studio Canal+, France 3 Cinéma, Eurimages","France, Poland",PL,1994.0
159185,,,"China, Hong Kong",HK,1994.0
36357,,,United States of America,US,1995.0
92769,,"Allegro Films, Norstar Entertainment, west wind entertainment",Canada,CA,1995.0
28033,,Paramount Pictures,"Germany, United States of America",US,1995.0
22586,Swan Princess Series,Rich Animation Studios,United States of America,US,1994.0
14334,,"Jones Entertainment Group, Skerry Productions","Ireland, United States of America",US,1994.0
2636,,"Jerry Weintraub Productions, Warner Bros., Iguana Producciones","Peru, United States of America",US,1994.0
2164,,"Centropolis Entertainment, StudioCanal, Carolco Entertainment","France, United States of America",US,1994.0
11395,The Santa Clause Collection,"Walt Disney Pictures, Hollywood Pictures",United States of America,US,1994.0
278,,"Castle Rock Entertainment, Warner Bros.",United States of America,US,1994.0
9905,,"Channel Four Films, Figment Films, The Glasgow Film Fund, PolyGram Filmed Entertainment",United Kingdom,GB,1994.0
87078,,Kino Korsakoff,United States of America,US,1993.0
12527,,"Miramax Films, Tabasco films, Instituto Mexicano de Cinematografía (IMCINE), TeleMadrid","Cuba, Spain",ES,1993.0
20306,,"Cineville, Trimark Pictures",United States of America,US,1994.0
36614,,Samuel Goldwyn Company,Australia,AU,1994.0
