,id,title,genres,vote_average
69,755,From Dusk Till Dawn,"Horror,Action,Thriller,Crime",6.9
70,11859,Fair Game,"Action,Thriller,Romance",4.1
71,28387,Kicking and Screaming,"Comedy,Drama,Romance",7.0
72,48750,Les Miserables,"Drama,History",6.6
73,20927,Bed of Roses,"Drama,Romance",5.1
74,36929,Big Bully,"Comedy,Family",3.9
75,9102,Screamers,"Horror,Science Fiction",6.1
76,124626,Nico Icon,Documentary,7.3
77,27526,The Crossing Guard,"Drama,Thriller",6.1
78,9623,The Juror,"Drama,Thriller",5.5
79,46785,The White Balloon,"Family,Drama",7.5
80,400,Things to Do in Denver When You're Dead,"Drama,Crime",6.7
81,880,Antonia's Line,"Drama,Comedy",7.2
82,146599,Once Upon a Time... When We Were Colored,"Romance,Drama",4.5
83,188588,Last Summer in the Hamptons,,0.0
84,8447,Angels and Insects,"Drama,Romance",6.3
85,10534,White Squall,"Action,Drama",6.3
86,17414,Dunston Checks In,"Adventure,Comedy,Family",5.1
87,13997,Black Sheep,Comedy,6.0
88,2086,Nick of Time,"Crime,Drama,Thriller",6.1
89,61548,The Journey of August King,Drama,6.7
90,9095,Mary Reilly,"Drama,Horror,Thriller,Romance",5.7
91,12158,Vampire in Brooklyn,"Comedy,Horror,Romance",4.5
92,9283,Beautiful Girls,"Comedy,Drama,Romance",6.6
93,9208,Broken Arrow,"Action,Adventure,Drama,Thriller",5.7
94,40154,A Midwinter's Tale,Comedy,7.5
95,406,La Haine,Drama,7.9
96,45549,Shopping,"Action,Adventure,Drama,Science Fiction,Thriller",5.6
97,63076,Heidi Fleiss: Hollywood Madam,Documentary,6.8
98,11062,City Hall,"Drama,Thriller",6.0
99,13685,Bottle Rocket,"Comedy,Crime,Drama",6.8
100,47475,Mr. Wrong,"Comedy,Romance",3.3
101,2045,Unforgettable,"Drama,Mystery,Science Fiction,Thriller",5.3
102,9614,Happy Gilmore,Comedy,6.5
103,688,The Bridges of Madison County,"Drama,Romance",7.3
104,11907,Nobody Loves Me,"Drama,Comedy,Family",5.1
105,10874,Muppet Treasure Island,"Action,Comedy,Music,Family,Adventure",6.5
106,89333,Catwalk,Documentary,7.0
107,96357,Headless Body in Topless Bar,Crime,0.0
108,197,Braveheart,"Action,Drama,History,War",7.7
109,103,Taxi Driver,"Crime,Drama",8.1
110,33542,Rumble in the Bronx,"Crime,Action,Comedy,Thriller",6.5
111,43566,Before and After,"Drama,Thriller",5.8
112,71754,Margaret's Museum,Drama,7.5
113,43612,Happiness Is in the Field,Comedy,7.0
114,51352,Anne Frank Remembered,"Documentary,Drama,Foreign",7.3
115,16934,The Young Poisoner's Handbook,"Comedy,Crime,Drama",6.9
116,10324,If Lucy Fell,"Comedy,Romance",5.4
117,78406,Steal Big Steal Little,"Comedy,Drama",5.1
118,55731,Race the Sun,"Action,Adventure,Comedy,Drama,Family",5.2
119,32119,The Boys of St. Vincent,Drama,7.0
120,11066,Boomerang,"Comedy,Romance",5.4
121,11104,Chungking Express,"Drama,Comedy,Romance",7.9
122,37975,The Star Maker,"Drama,Romance",6.8
123,2074,Flirting with Disaster,"Comedy,Romance",6.3
124,27793,The Neverending Story III: Escape from Fantasia,Fantasy,4.4
125,44284,The Silences of the Palace,Drama,4.3
126,290157,Jupiter's Wife,,0.0
127,110972,Pie in the Sky,"Comedy,Romance",7.0
128,32622,Angela,"Comedy,Drama",5.6
129,73067,Frankie Starlight,"Drama,Romance,War",5.4
130,11863,Jade,"Action,Thriller,Mystery,Romance",5.1
131,55475,Nueba Yol,"Comedy,Drama,Romance",5.5
132,124636,Sonic Outlaws,"Music,Documentary",0.0
133,9101,Down Periscope,Comedy,5.6
134,123360,From the Journals of Jean Seberg,Documentary,6.5
135,5757,Man of the Year,Comedy,3.8
136,39428,The Neon Bible,Drama,7.2
137,124639,Target,,0.0
138,9302,Up Close & Personal,"Drama,Romance",5.9
139,11000,The Birdcage,Comedy,6.7
140,249882,Virgin Mary,Drama,7.0
141,16388,The Brothers McMullen,"Comedy,Drama,Romance",6.3
142,9737,Bad Boys,"Action,Comedy,Crime,Thriller",6.5
143,30765,The Amazing Panda Adventure,"Action,Adventure,Drama,Family",5.0
144,10474,The Basketball Diaries,"Drama,Crime",7.2
145,22279,An Awfully Big Adventure,"Romance,Drama,Comedy",6.0
146,30157,Amateur,"Crime,Comedy,Drama,Thriller",6.5
147,568,Apollo 13,Drama,7.3
148,11780,Rob Roy,Adventure,6.5
149,34996,The Addiction,"Drama,Horror",6.4
150,414,Batman Forever,"Action,Crime,Fantasy",5.2
151,649,Belle de Jour,"Drama,Romance",7.3
152,1873,Beyond Rangoon,"Drama,Thriller",6.4
153,5894,Blue in the Face,Comedy,6.8
154,1775,Canadian Bacon,"Action,Comedy",5.9
155,8839,Casper,"Fantasy,Comedy,Family",6.0
156,20649,Clockers,"Mystery,Crime,Drama",6.8
157,10329,Congo,"Action,Adventure,Drama,Mystery,Science Fiction,Thriller",5.0
158,8963,Crimson Tide,"Action,Thriller,Drama",7.0
159,26564,Crumb,Documentary,7.6
160,8068,Desperado,"Thriller,Action,Crime",6.8
161,8512,Devil in a Blue Dress,"Drama,Mystery,Thriller",6.3
162,1572,Die Hard: With a Vengeance,"Action,Thriller",6.9
163,13552,The Doom Generation,"Action,Comedy,Crime,Drama",5.6
164,259209,Feast of July,"Drama,Crime",0.0
165,6520,First Knight,"Action,Adventure,Drama,Romance",5.9
166,9073,Free Willy 2 - The Adventure Home,Adventure,5.5
167,10428,Hackers,"Action,Crime,Thriller,Drama",6.2
168,17447,Jeffrey,"Comedy,Drama,Romance",6.5
169,9886,Johnny Mnemonic,"Adventure,Action,Drama,Science Fiction,Thriller",5.5
170,9482,Judge Dredd,Science Fiction,5.4
171,19326,Jury Duty,"Comedy,Drama",4.0
172,9344,Kids,"Drama,Crime",6.8
173,9071,Living in Oblivion,"Drama,Comedy",7.2
174,8973,Lord of Illusions,"Mystery,Horror,Thriller",5.9
175,15730,Love & Human Remains,"Comedy,Drama",7.0
176,47608,Mad Love,"Drama,Family,Romance",5.5
177,2293,Mallrats,"Romance,Comedy",6.8
178,9070,Mighty Morphin Power Rangers: The Movie,"Action,Adventure,Science Fiction,Family,Fantasy",5.2
179,68274,Moonlight and Valentino,"Comedy,Drama,Romance",5.6
180,48787,Mute Witness,"Thriller,Foreign",6.4
181,34574,Nadja,"Horror,Thriller",5.9
182,1642,The Net,"Crime,Drama,Mystery,Thriller,Action",5.6
183,11472,Nine Months,Comedy,5.5
184,36196,Party Girl,Comedy,5.8
185,11980,The Prophecy,"Fantasy,Horror,Thriller",6.4
186,58372,Reckless,"Fantasy,Comedy,Drama",10.0
187,32646,Safe,Drama,7.2
188,10533,The Scarlet Letter,"Drama,History,Romance",5.5
189,56088,The Show,Documentary,5.3
190,10802,Showgirls,Drama,4.9
191,10149,Smoke,"Comedy,Drama",7.2
192,18402,Something to Talk About,Comedy,5.7
193,9348,Species,"Science Fiction,Horror,Action",5.5
194,139408,The Stars Fell on Henrietta,Drama,6.6
195,281,Strange Days,"Crime,Drama,Science Fiction,Thriller",6.8
196,5967,The Umbrellas of Cherbourg,"Drama,Romance",7.6
197,79593,The Tie That Binds,Thriller,4.6
198,47939,Three Wishes,"Drama,Fantasy",6.1
199,36834,Total Eclipse,"Drama,Romance",6.5
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,6.3
201,3512,Under Siege 2: Dark Territory,"Action,Thriller",5.6
202,52856,Unstrung Heroes,"Comedy,Drama,Family",6.4
203,77350,Unzipped,Documentary,6.0
204,9560,A Walk in the Clouds,"Drama,Romance",6.5
205,9804,Waterworld,"Adventure,Action",5.9
206,31611,White Man's Burden,Drama,5.1
207,65796,Wild Bill,"Action,Western",5.9
208,49805,The Browning Version,Drama,6.0
209,26258,Bushwhacked,"Adventure,Action,Comedy,Crime,Family",4.9
210,50797,Burnt by the Sun,Drama,6.7
211,19155,Before the Rain,"Drama,War",7.7
212,76,Before Sunrise,"Drama,Romance",7.7
213,11017,Billy Madison,Comedy,6.2
214,37141,The Babysitter,"Drama,Thriller",4.7
215,9382,Boys on the Side,"Comedy,Drama",6.3
216,6715,The Cure,"Drama,Family",7.2
217,18256,Castle Freak,"Thriller,Drama,Horror,Mystery",5.8
218,22625,Circle of Friends,"Drama,Family,Romance",6.5
219,2292,Clerks,Comedy,7.4
220,1909,Don Juan DeMarco,"Romance,Drama,Comedy",6.3
221,8984,Disclosure,"Drama,Thriller,Crime,Mystery,Romance",5.9
222,61813,Dream Man,Thriller,2.5
223,4954,Drop Zone,"Action,Adventure,Thriller",5.1
224,62488,Destiny Turns on the Radio,"Crime,Comedy,Fantasy",5.3
225,10531,Death and the Maiden,"Drama,Thriller,Mystery",7.1
226,11929,Dolores Claiborne,"Crime,Drama,Mystery",7.1
227,8467,Dumb and Dumber,Comedy,6.5
228,10451,Eat Drink Man Woman,"Comedy,Drama,Romance",7.5
229,20156,Exotica,"Drama,Mystery",6.5
230,18395,Exit to Eden,"Thriller,Comedy,Crime,Romance",4.3
231,522,Ed Wood,"Comedy,Drama,History",7.3
232,397,French Kiss,"Comedy,Romance",6.2
233,10525,Forget Paris,"Comedy,Drama,Romance",6.1
234,27985,Far from Home: The Adventures of Yellow Dog,"Action,Adventure,Drama,Family",5.6
235,15789,A Goofy Movie,"Romance,Animation,Family,Comedy,Adventure",6.7
236,27303,Hideaway,"Drama,Thriller",5.0
237,21183,Fluke,"Drama,Family,Fantasy",6.6
238,10954,Farinelli,"History,Drama",5.9
239,47867,Gordy,"Drama,Family,Fantasy",3.0
240,43475,Gumby: The Movie,"Fantasy,Animation,Science Fiction,Family",5.0
241,72031,The Glass Shield,"Drama,Action,Thriller,Crime",5.4
242,14275,Hoop Dreams,Documentary,7.7
243,1024,Heavenly Creatures,"Drama,Fantasy",6.9
244,17207,Houseguest,"Comedy,Family",6.0
245,13701,Immortal Beloved,"Drama,Music,Romance",6.9
246,14819,Heavyweights,"Comedy,Family,Drama",6.0
247,32631,The Hunted,"Action,Thriller",6.0
248,11777,I.Q.,"Comedy,Drama,Romance",5.9
249,628,Interview with the Vampire,"Horror,Romance",7.2
250,87729,Jefferson in Paris,"Drama,Romance",5.2
251,18713,The Jerky Boys,"Comedy,Crime",4.8
252,6280,Junior,"Comedy,Family,Romance",4.7
253,9061,Just Cause,"Action,Drama,Mystery,Thriller",6.0
254,37108,A Kid in King Arthur's Court,"Adventure,Fantasy,Comedy,Science Fiction,Family",4.3
255,6071,Kiss of Death,"Action,Crime,Drama,Thriller",5.7
256,11,Star Wars,"Adventure,Action,Science Fiction",8.1
257,9587,Little Women,"Drama,Romance",7.0
258,19101,A Little Princess,"Drama,Family,Fantasy",7.4
259,49980,Ladybird Ladybird,Drama,7.4
260,17961,L'Enfer,"Crime,Drama",6.6
261,18183,Like Water for Chocolate,"Drama,Romance",6.6
262,4476,Legends of the Fall,"Adventure,Drama,Romance,War",7.2
263,11008,Major Payne,"Adventure,Comedy,Family",6.1
264,47504,Little Odessa,"Action,Drama",6.4
265,32325,Mi Vida Loca,"Crime,Drama",5.7
266,43742,Love Affair,"Drama,Romance",4.3
267,28313,Losing Isaiah,Drama,6.4
268,11318,The Madness of King George,"Comedy,Drama,History",6.7
269,3036,Mary Shelley's Frankenstein,"Drama,Horror,Science Fiction,Romance",6.1
270,40490,Man of the House,"Action,Comedy,Family",5.1
271,24070,Mixed Nuts,"Comedy,Drama,Romance",5.2
272,8986,Milk Money,"Comedy,Romance",5.6
273,10510,Miracle on 34th Street,"Fantasy,Drama,Family",6.4
274,17402,Miami Rhapsody,"Comedy,Romance",5.6
275,38722,My Family,"Comedy,Drama",7.0
276,8438,Murder in the First,"Crime,Drama",6.9
277,11593,Nobody's Fool,"Drama,Comedy",7.0
278,1945,Nell,"Drama,Thriller",6.1
279,39310,New Jersey Drive,"Crime,Drama",6.9
280,109560,New York Cop,"Action,Thriller,Crime,Drama",0.0
281,56428,Beyond Bedlam,Horror,4.0
282,63105,Nemesis 2 - Nebula,"Science Fiction,Action,Thriller",4.6
283,131957,Nina Takes a Lover,"Drama,Romance",7.4
284,241,Natural Born Killers,"Crime,Thriller,Drama",6.9
285,9058,Only You,"Comedy,Drama,Romance",6.4
286,527,Once Were Warriors,Drama,7.6
287,18220,Poison Ivy II: Lily,"Drama,Romance,Thriller",4.6
288,6950,Outbreak,"Action,Drama,Science Fiction,Thriller",6.4
289,101,Leon: The Professional,"Thriller,Crime,Drama",8.2
290,63020,The Perez Family,"Comedy,Drama,Romance",6.6
291,2307,A Pyromaniac's Love Story,"Comedy,Drama,Romance",7.0
292,680,Pulp Fiction,"Thriller,Crime",8.3
293,41478,Panther,Drama,6.4
294,25296,Pushing Hands,"Comedy,Drama",6.1
295,40156,Priest,"Drama,Romance",6.4
296,11450,Quiz Show,"History,Drama",7.1
297,30304,Picture Bride,"Drama,History",7.4
298,10452,Queen Margot,"Drama,History",7.0
299,12106,The Quick and the Dead,"Action,Western",6.2
300,161495,Roommates,"Drama,Comedy",6.4
301,3586,Prêt-à-Porter,"Drama,Comedy",5.3
302,110,Three Colors: Red,"Drama,Mystery,Romance",7.8
303,108,Three Colors: Blue,"Drama,Music,Mystery",7.7
304,109,Three Colors: White,"Comedy,Drama,Mystery",7.3
305,159185,"Red Firecracker, Green Firecracker",Drama,7.0
306,36357,Rent-a-Kid,"Comedy,Family,TV Movie",5.1
307,92769,Relative Fear,"Horror,Drama",4.7
308,28033,Stuart Saves His Family,"Comedy,Drama",5.0
309,22586,The Swan Princess,Animation,6.5
310,14334,The Secret of Roan Inish,"Drama,Family,Fantasy",6.1
311,2636,The Specialist,"Action,Thriller",5.5
312,2164,Stargate,"Action,Adventure,Science Fiction",6.8
313,11395,The Santa Clause,"Fantasy,Drama,Comedy,Family",6.3
314,278,The Shawshank Redemption,"Drama,Crime",8.5
315,9905,Shallow Grave,"Crime,Thriller",7.0
316,87078,Suture,"Drama,Thriller",6.0
317,12527,Strawberry and Chocolate,"Comedy,Drama",7.1
318,20306,Swimming with Sharks,"Crime,Comedy",6.7
319,36614,The Sum of Us,"Comedy,Drama,Romance",6.0
320,27993,Senior Trip,Comedy,5.7
321,31439,To Live,"Drama,Romance,War",7.7
322,9067,Tank Girl,"Action,Comedy,Fantasy,Science Fiction",5.5
323,9059,Tales from the Crypt: Demon Knight,"Horror,Comedy,Thriller",6.7
324,193,Star Trek: Generations,"Science Fiction,Action,Adventure,Thriller",6.4
325,25066,Tales from the Hood,"Crime,Horror,Thriller",5.4
326,46797,Tom & Viv,"Drama,Romance",5.8
327,12122,Village of the Damned,"Thriller,Horror,Science Fiction",5.6
328,11381,Tommy Boy,Comedy,6.8
329,32636,Vanya on 42nd Street,"Drama,Romance",6.1
330,36141,The Underneath,"Thriller,Crime",5.6
331,95963,The Walking Dead,"Drama,War",6.6
332,1587,What's Eating Gilbert Grape,"Romance,Drama",7.5
333,9271,Virtuosity,"Action,Crime,Science Fiction,Thriller",5.4
334,2064,While You Were Sleeping,"Comedy,Drama,Romance",6.5
335,19855,The War,Drama,6.3
336,60855,Double Happiness,"Comedy,Romance",5.5
337,236,Muriel's Wedding,"Drama,Comedy,Romance",6.9
338,48287,The Baby-Sitters Club,"Comedy,Drama,Family",5.3
339,3049,Ace Ventura: Pet Detective,"Comedy,Mystery",6.4
340,2759,"The Adventures of Priscilla, Queen of the Desert","Drama,Comedy",7.2
341,12635,Backbeat,"Drama,Music",6.2
342,10497,Bitter Moon,"Thriller,Drama,Romance",7.0
343,11382,Bullets Over Broadway,"Action,Comedy,Thriller",7.0
344,9331,Clear and Present Danger,"Action,Drama,Thriller",6.4
345,10731,The Client,"Drama,Thriller,Crime,Mystery",6.4
346,10464,"Corrina, Corrina","Comedy,Drama,Family,Romance",6.4
347,34152,Crooklyn,"Comedy,Drama",6.7
348,9495,The Crow,"Fantasy,Action,Thriller",7.3
349,29973,Cobb,Drama,6.1
350,888,The Flintstones,"Fantasy,Comedy,Family",5.0
351,13,Forrest Gump,"Comedy,Drama,Romance",8.2
352,712,Four Weddings and a Funeral,"Comedy,Drama,Romance",6.6
353,16295,Higher Learning,"Romance,Drama,Crime",6.4
354,48992,I Like It Like That,"Comedy,Drama,Romance",6.3
355,10879,I Love Trouble,"Action,Comedy,Romance",5.3
356,10660,It Could Happen to You,"Comedy,Drama,Romance",6.1
357,10714,The Jungle Book,"Adventure,Drama,Family",5.9
358,41647,"The Wonderful, Horrible Life of Leni Riefenstahl","Documentary,Foreign",7.3
359,8587,The Lion King,"Family,Animation,Drama",8.0
360,1689,Little Buddha,"Drama,History",6.0
361,11596,New Nightmare,"Horror,Thriller,Mystery,Fantasy",6.4
362,854,The Mask,"Romance,Comedy,Crime,Fantasy",6.6
363,9359,Maverick,"Action,Adventure,Comedy,Drama,Western",6.6
364,23333,Mrs. Parker and the Vicious Circle,Drama,6.3
365,36593,The Naked Gun 33⅓: The Final Insult,"Comedy,Crime",6.4
366,12280,The Paper,"Comedy,Drama",6.1
367,2788,Reality Bites,Drama,6.5
368,10427,Red Rock West,"Crime,Drama,Thriller",6.4
369,11011,Ri¢hie Ri¢h,"Comedy,Family",5.4
370,49803,Safe Passage,Drama,4.9
371,8987,The River Wild,"Action,Adventure,Crime,Thriller",6.1
372,1637,Speed,"Action,Adventure,Crime",6.8
373,15128,Speechless,"Comedy,Romance",5.5
374,8831,Timecop,"Thriller,Science Fiction,Action,Crime",5.5
375,36955,True Lies,"Action,Thriller",6.8
376,10449,When a Man Loves a Woman,"Drama,Romance",6.0
377,10395,Wolf,Fantasy,6.0
378,12160,Wyatt Earp,"Drama,Action,Western",6.5
379,40480,Bad Company,"Action,Crime,Romance,Thriller",4.9
380,52038,A Man of No Importance,"Comedy,Drama",6.5
381,29444,S.F.W.,"Comedy,Drama",6.1
382,26352,A Low Down Dirty Shame,"Action,Comedy,Crime",6.0
383,39953,"Boys Life: Three Stories of Love, Lust, and Liberation",Drama,2.0
384,41580,Colonel Chabert,Drama,5.9
385,315,"Faster, Pussycat! Kill! Kill!","Action,Crime",6.5
386,22067,Jason's Lyric,"Crime,Drama,Romance",5.9
387,18242,The Secret Adventures of Tom Thumb,"Animation,Science Fiction",7.1
388,11667,Street Fighter,"Action,Adventure,Thriller",4.1
389,32502,Coldblooded,"Action,Comedy",6.7
390,267188,Desert Winds,,0.0
391,28732,Fall Time,"Action,Adventure,Crime,Drama,Thriller",6.3
392,75555,The Fear,"Horror,Thriller",3.4
393,42981,Frank and Ollie,Documentary,7.5
394,278939,Girl in the Cadillac,"Romance,Adventure,Crime,Drama",10.0
395,291731,Homage,"Thriller,Drama",0.0
396,226229,Mirage,"Action,Thriller",4.0
397,203119,Open Season,Comedy,0.0
398,172923,Dos Crímenes,,5.0
399,316098,Brother Minister: The Assassination of Malcolm X,Documentary,4.0
400,8011,Highlander: The Final Dimension,"Action,Fantasy,Science Fiction",4.5
401,171857,Federal Hill,,5.0
402,2654,In the Mouth of Madness,"Horror,Mystery,Thriller",7.1
403,18069,8 Seconds,"Drama,Romance",7.2
404,19092,Above the Rim,"Crime,Drama",6.7
405,2758,Addams Family Values,"Comedy,Family,Fantasy",6.5
406,38129,Martin Lawrence: You So Crazy,Comedy,4.5
407,10436,The Age of Innocence,"Drama,Romance",7.0
408,13595,Airheads,"Comedy,Crime,Music",5.8
409,46094,The Air Up There,"Comedy,Family",5.1
410,9409,Another Stakeout,"Action,Comedy",4.9
411,11853,Bad Girls,"Action,Adventure,Comedy,Drama,Western",4.6
412,16771,Barcelona,"Comedy,Drama,Romance",6.6
413,46924,Being Human,"Drama,Comedy,Fantasy",5.0
414,11041,The Beverly Hillbillies,Comedy,5.0
415,306,Beverly Hills Cop III,"Action,Comedy,Crime",5.5
416,14522,Black Beauty,"Action,Adventure,Drama,Family",6.6
417,26203,Blink,"Mystery,Crime,Drama,Thriller",6.3
418,178,Blown Away,"Drama,Action,Thriller",6.0
419,19819,Blue Chips,Drama,5.7
420,57834,Blue Sky,"Drama,Romance",6.1
421,4722,Body Snatchers,"Horror,Science Fiction,Thriller",5.8
422,18215,Boxing Helena,"Drama,Romance",4.5
423,1607,A Bronx Tale,"Drama,Crime",7.4
424,26391,Cabin Boy,Comedy,4.9
425,117553,Calendar Girl,"Drama,Comedy",3.7
426,6075,Carlito's Way,"Action,Crime,Drama,Thriller",7.7
427,11310,City Slickers II: The Legend of Curly's Gold,"Action,Comedy,Drama,Western",4.9
428,18658,Clean Slate,"Comedy,Thriller,Mystery",5.7
429,9350,Cliffhanger,"Action,Adventure,Thriller",6.1
430,9612,Coneheads,"Comedy,Science Fiction,Family",4.8
431,2124,Color of Night,"Drama,Mystery,Romance,Thriller",5.4
432,26261,Cops & Robbersons,"Action,Comedy,Family",5.0
433,19176,The Cowboy Way,"Western,Action,Comedy",5.1
434,49299,Dangerous Game,Drama,5.4
435,11566,Dave,Comedy,6.3
436,9571,Dazed and Confused,"Comedy,Drama",7.4
437,9739,Demolition Man,"Crime,Action,Science Fiction",6.4
438,24257,The Endless Summer 2,Documentary,7.1
439,34444,Even Cowgirls Get the Blues,"Western,Drama,Comedy,Romance",4.2
440,26141,Fatal Instinct,Comedy,5.4
441,10997,Farewell My Concubine,Drama,7.8
442,50463,The Favor,"Drama,Comedy,Romance",3.3
443,10443,Fearless,Drama,6.8
444,20239,Fear of a Black Hat,Comedy,5.8
445,16297,With Honors,"Comedy,Drama",6.1
446,18551,Flesh and Bone,"Drama,Mystery,Romance",6.2
447,25440,Widows' Peak,"Comedy,Thriller,Mystery,Romance,Foreign",4.3
448,9024,For Love or Money,"Comedy,Romance",5.7
449,37233,The Firm,"Drama,Mystery,Thriller",6.6
450,1634,Free Willy,"Family,Adventure",6.0
451,13815,Fresh,"Crime,Drama,Thriller",7.6
452,5503,The Fugitive,"Adventure,Action,Thriller,Crime,Mystery",7.2
453,35588,Geronimo: An American Legend,"History,Action,Drama,Western",5.9
454,2087,The Getaway,"Drama,Action,Thriller",5.4
455,41579,Getting Even with Dad,"Family,Comedy,Crime",4.5
456,18620,Go Fish,"Drama,Romance",3.9
457,41006,A Good Man in Africa,"Comedy,Drama",5.2
458,4916,Guilty as Sin,"Drama,Thriller",5.6
459,2019,Hard Target,"Action,Adventure,Crime,Thriller",6.1
460,31642,Heaven & Earth,"History,War,Action,Drama",6.4
461,9255,Hot Shots! Part Deux,"Action,Comedy,War",6.2
462,26271,Live Nude Girls,Comedy,4.7
463,10612,The Englishman Who Went Up a Hill But Came Down a Mountain,"Drama,Comedy,Romance",6.1
464,2259,The House of the Spirits,"Romance,Drama",6.7
465,16097,House Party 3,Comedy,4.6
466,11934,The Hudsucker Proxy,"Comedy,Drama",7.1
467,106143,I'll Do Anything,"Comedy,Drama",5.7
468,12475,In the Army Now,Comedy,4.7
469,9386,In the Line of Fire,"Action,Drama,Thriller,Crime,Mystery",6.8
470,7984,In the Name of the Father,Drama,7.6
471,59930,The Inkwell,"Comedy,Drama,Romance",3.9
472,15765,What's Love Got to Do with It,"Drama,Music",6.9
473,31643,Jimmy Hollywood,Comedy,4.6
474,6,Judgment Night,"Action,Thriller,Crime",6.4
475,329,Jurassic Park,"Adventure,Science Fiction",7.6
476,10909,Kalifornia,"Thriller,Crime",6.5
477,507,Killing Zoe,"Action,Crime,Drama,Thriller",6.1
478,34024,King of the Hill,Drama,6.4
479,29918,Lassie,"Action,Adventure,Drama,Family",6.1
480,9593,Last Action Hero,"Adventure,Fantasy,Action,Comedy,Family",6.1
481,42580,Life With Mikey,"Comedy,Family",5.1
482,22317,Lightning Jack,"Action,Comedy,Western",5.7
483,1413,M. Butterfly,"Drama,Romance",6.6
484,12121,Made in America,Comedy,5.3
485,2246,Malice,"Drama,Crime",5.9
486,10502,The Man without a Face,Drama,6.2
487,10440,Manhattan Murder Mystery,"Comedy,Mystery",7.1
